Avance,Contratista,Departamento - Ciudad,Estado,Extensión de la Obra,Fecha de Finalización,Fecha de Inicio,Fuente de Financiación,Información Adicional,Inversión,Localidades Beneficiadas,Nombre,Plazo de Ejecución (en meses),Tipo
100%,Consorcio Obras Viales,Alto Paraguay - Capitán Carmelo Peralta,FINALIZADA,"361,00 Kms.","Sáb, 15 Agosto 2015","Lun, 02 Febrero 2015",Fondo Local,"Mejoramiento de Transitabilidad de caminos no pavimentados en la Región Occidental (Chaco).
Comisaría 65 (Desvío a Carmelo Peralta) – Carmelo Peralta (65 km.), Comisaría 65 a Toro Pampa (78 km.), Intersección Bioceánica (km 83) – Comisaría 65 (50 km), Tramo 22 Paragro – Puerto Sastre (75 km.), Centinela (Desvío km 83) – Puerto Casado (93 km). Todos estos tramos fueron adjudicados al Consorcio Obras Viales 02/02/2015 15/08/2015",Gs. 22.740.054.738,Carmelo Peralta - Toro Pampa – Comisaría 65 - Paragro – Puerto Sastre - Centinela – Puerto Casado,Mejoramiento de Transitabilidad de caminos no pavimentados (Chaco). Lote 3,6,Mejoramiento de transitabilidad de caminos no pavimentados
100%,Ing. Ramón L. Salvioni Gonzalez,Caaguazú - San José de los Arroyos,FINALIZADA,27,"Mié, 01 Junio 2016","Mar, 01 Diciembre 2015",Fondo Local,"Trabajos de Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio Lote 14, Ruta N° 2 desvío a Mbocayaty del Yhaguy (San José) - Rotonda Cnel. Oviedo ( Incluye la rotonda)",Gs. 421.200.000,Caaguazú,"Trabajos de Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio Lote 14, Ruta N° 2 desvío a Mbocayaty del Yhaguy (San José) - Rotonda Cnel. Oviedo ( Incluye la rotonda)",,Mejoramiento de Franja de Dominio
56%,Consorcio Vial CE2,Guairá - Villarrica,EN CONSTRUCCIÓN,"32,89 kms","Sáb, 25 Agosto 2018","Sáb, 01 Octubre 2016",BID,Mejoramiento y Rehabilitación de Caminos Vecinales del Departamento de Guairá. Lote 1,Gs. 26.925.959.049,Guairá,Mejoramiento y Rehabilitación de Caminos Vecinales del Departamento de Guairá,22,Ripio / Empedrado
53%,Consorcio Chaves Hausman y Asociados,Misiones - San Ignacio,EN CONSTRUCCIÓN,"38,45 kms.","Jue, 04 Octubre 2018","Sáb, 01 Octubre 2016",BID,Mejoramiento y Rehabilitación de Caminos Vecinales del Departamento de Misiones,Gs. 28.863.878.297,Misiones,Mejoramiento y Rehabilitación de Caminos Vecinales del Departamento de Misiones,34,Ripio / Empedrado
100%,T&C S.A.,Ñeembucú - Pilar,FINALIZADA,"291,10 kms","Mar, 30 Agosto 2016","Vie, 01 Julio 2016",Fondo Local,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Ñeembucú.,Gs. 2.579.450.036,Ñeembucú,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Ñeembucú.,,Mejoramiento de transitabilidad de caminos no pavimentados
87%,Construcciones Rivas S.A.,Cordillera - Caacupé,EN CONSTRUCCIÓN,"2,46","Lun, 01 Mayo 2017","Vie, 06 Mayo 2016",Fondo Local,Obra 9: Tramo: Desvio Ruta Atyra/ Candia/ Caacupe - Ruta Tobati/Caacupe,Gs. 3.878.757.099,Atyra - Candia - Caacupé - Tobati,Pavimentación tipo empedrado,,Pavimentación Tipo Empedrado
44%,PROEL INGENIERIA,Central - San Lorenzo,EN CONSTRUCCIÓN,,"Lun, 06 Febrero 2017","Jue, 07 Mayo 2015",Fondo Local,LLAMADO MOPC N° 50/2016 LPN EMPRESAS CONSTRUCTORAS PARA LA CONSTRUCCION DE ALCANTARILLA CELULAR TRIPLE EN LA INTERSECCION DEL ARROYO TAYAZUAPEI CON LA AVDA. DE LA VICTORIA - CIUDAD DE SAN LORENZO,Gs. 974.792.226,San Lorenzo,Construcción de Alcantarilla Celular Triple,,Alcantarillado Sanitario
100%,Consorcio del Lago,Central - Luque,FINALIZADA,21.31 kms,"Mar, 29 Diciembre 2015","Mié, 01 Agosto 2012",Fondo Local,LLAMADO MOPC N° 143/2011 LPN FIRMAS CONSTRUCTORAS PARA LA PAVIMENTACIÓN DEL TRAMO: SECCIÓN II: TRAMO: LUQUE - SAN BERNARDINO - PROG. 9+890 A 31+200,Gs. 87.702.356.566,Luque - San Bernardino,Construcción del tramo: Luque - San Bernardino - Sección II - Prog. 9+890 a 31+200,,Pavimentación Asfáltica
100%,Consorcio Villetano,Central - Villeta,FINALIZADA,16,"Vie, 13 Marzo 2015","Mar, 18 Marzo 2014",Fondo Local,"LLAMADO N° 167/2012 LPN REHABILITACIÓN DEL ACCESO A VILLETA - ALBERDI KM0 - KM 16 - AD REFERÉNDUM A LA AMPLIACIÓN PRESUPUESTARIA, TRAMO: RUTA A VILLETA - KM 16 (RUTA A ALBERDI)",Gs. 39.047.002.406,Villeta,Rehabilitación del tramo Ruta a Villeta Km 16 (Ruta a Alberdi),12,Rehabilitación de Tramos
99%,OCHO A S.A.,Boquerón - Mariscal José Félix Estigarribia,EN CONSTRUCCIÓN,179,"Mié, 04 Mayo 2016","Sáb, 01 Febrero 2014",Fondo Local,Rehabilitación Ruta N° 9. Mariscal Estigarribia - La Patria - Infante Rivarola (Colocación de mezcla Asfáltica),Gs. 36.408.341.156,Mcal. Estigarribia,Rehabilitación Ruta N° 9. Mariscal Estigarribia - La Patria - Infante Rivarola,15,Rehabilitación de Tramos
0%,14 de Julio S.A.,Caaguazú - Caaguazú,EN CONSTRUCCIÓN,"1,00","Jue, 12 Enero 2017","Mié, 31 Agosto 2016",Fondo Local,Pavimentación asfáltica del tramo: San Jose De Los Arroyos - Tebicuary,Gs. 11.144.180.593,San José de los Arroyos,Pavimentación asfáltica del tramo: San Jose De Los Arroyos - Tebicuary,,Pavimentación Asfáltica
100%,Consorcio Occidental,Alto Paraguay - Bahía Negra,FINALIZADA,"257,00 Kms.","Mar, 01 Septiembre 2015","Lun, 02 Febrero 2015",Fondo Local,Mejoramiento de transitabilidad de caminos no pavimentados en la Región Occidental (Chaco). Lote 4,Gs. 12.258.150.495,,Mejoramiento de transitabilidad de caminos no pavimentados en la Región Occidental (Chaco),7,Mejoramiento de transitabilidad de caminos no pavimentados
87%,Consorcio Vial Nuevo Horizonte,Guairá - Villarrica,EN CONSTRUCCIÓN,44 kms.,"Mar, 28 Febrero 2017","Lun, 07 Enero 2013",Fondo Local,Rehabilitación del Tramo. Obra 1: Coronel Oviedo - Villarrica,Gs. 123.715.587.615,Coronel Oviedo - Villarrica,Rehabilitación del Tramo - Obra 1: Coronel Oviedo - Villarrica,,Rehabilitación de Tramos
86%,Consorcio Yuty,Guairá - Villarrica,EN CONSTRUCCIÓN,24.74 kms,"Vie, 30 Diciembre 2016","Lun, 07 Enero 2013",Fondo Local,Rehabilitación del Tramo. Obra 2: Villarrica - Ñumi,Gs. 71.931.801.047,Villarrica - Ñumi,Rehabilitación del Tramo. Obra 2: Villarrica - Ñumi,,Rehabilitación de Tramos
100%,Sotec S.A.,Boquerón - Mariscal José Félix Estigarribia,FINALIZADA,190 Kms.,"Mié, 19 Agosto 2015","Lun, 02 Febrero 2015",Fondo Local,Mejoramiento de transitabilidad del tramo en la Región Occidental - Mcal. Estigarribia - Tte. Pico - 4 de Mayo. Lote 5,Gs. 12.490.318.960,,Mejoramiento de transitabilidad del tramo en la Región Occidental - Lote 5,7,Mejoramiento de transitabilidad de caminos no pavimentados
0%,PROEL INGENIERIA,Guairá - Ñumí,FINALIZADA,26.80 kms.,"Vie, 10 Abril 2015","Lun, 04 Febrero 2013",Fondo Local,Rehabilitación del Tramo. Obra 3: Ñumi - Caazapá,Gs. 46.188.470.845,Ñumi - Caazapá,Rehabilitación del Tramo. Obra 3: Ñumi - Caazapá,,Rehabilitación de Tramos
100%,T&C S.A.,Boquerón - Mariscal José Félix Estigarribia,FINALIZADA,220 Kms.,"Vie, 07 Agosto 2015","Lun, 02 Febrero 2015",Fondo Local,Mejoramiento de transitabilidad de caminos no pavimentados de la Región Occidental. Lote 6. Tramo Mcal. Estigarribia - Cruce Don Silvio - Pozo Hondo (Picada 500). 02/02/2015 07//08/2015,Gs. 10.673.042.533,,Mejoramiento de transitabilidad de caminos no pavimentados de la Región Occidental. Lote 6,6,Mejoramiento de transitabilidad de caminos no pavimentados
96%,EDB Construcciones,San Pedro - Santa Rosa del Aguaray,EN CONSTRUCCIÓN,39.65,"Lun, 27 Junio 2016","Mar, 05 Marzo 2013",FONPLATA,"Rehabilitación y Pavimentación del tramo Santa Rosa del Aguaray - Capitán Bado. Sección I: Intersección Ruta Nº 3 Km. 282,60 (Rotonda Santa Rosa) Km 0,00 - Km 35,00. Colonia Santa Bárbara. Accesos y Travesías Urbanas. Incluye 3 Puentes de HºAº. Prog. 17+9",Gs. 166.115.833.646,Santa Rosa del Aguaray,Rehabilitación y Pavimentación del tramo Santa Rosa del Aguaray - Capitán Bado,,Rehabilitación de Tramos
0%,Green,San Pedro - Santa Rosa del Aguaray,FINALIZADA,41.94,"Vie, 08 Abril 2016","Mié, 24 Abril 2013",FONPLATA,"Rehabilitación y Pavimentación del tramo Santa Rosa del Aguaray - Capitán Bado. Sección II: Colonia Santa Bárbara Km 35,00 - Km 70,00. Asentamiento Karapa'i. Travesías Urbanas.",Gs. 133.992.050.722,Santa Rosa del Aguaray,Rehabilitación y Pavimentación del tramo Santa Rosa del Aguaray - Capitán Bado,,Rehabilitación de Tramos
0%,Ecomipa S.A.,San Pedro - San Pedro de Ycuamandyyú,FINALIZADA,40.07,"Jue, 18 Febrero 2016","Mar, 05 Marzo 2013",FONPLATA,"Rehabilitación y Pavimentación del tramo Santa Rosa del Aguaray - Capitán Bado. Sección III: Asentamiento Karapa'i Km 70,00 - Km 105,00. Colonia Piray. Travesías Urbanas. Incluye 2 Puentes de HºAº. Prog. 83+820 L = 40,00 m (Aº Aguaraveve). Prog. 96+500 L",Gs. 192.076.411.671,Capitán Bado,Rehabilitación y Pavimentación del tramo Santa Rosa del Aguaray - Capitán Bado.,,Rehabilitación de Tramos
95%,Consorcio LG,Paraguarí - Carapeguá,EN CONSTRUCCIÓN,4.80 kilometros,"Jue, 22 Septiembre 2016","Sáb, 01 Febrero 2014",Fondo Local,"Circunvalación en las ciudades de Paraguarí - Carapeguá - Quiindy y Caapucú.
OBRA 2: Circunvalación de la Ciudad de Carapeguá.",Gs. 40.498.269.700,Carapeguá,Circunvalación en las ciudades de Paraguarí - Carapeguá - Quiindy y Caapucú,,Circunvalación
87%,CONSORCIO SERVIAM ACARAY,Central - San Lorenzo,EN CONSTRUCCIÓN,"372,70 Kms,","Vie, 05 Agosto 2016","Lun, 20 Abril 2015",Fondo Local,"El Lote 1 incluye Calle Última; Mcal. Estigarribia - Itá; Itauguá, Calle Última; Mcal. López - Arroyo Irala, Arroyo Irala - Mcal. López, Puente Remanso, Transchaco – Semidei, así como en distintos puntos del Área Metropolitana Asunción y Gran Asunción.
Señalización con Pintura Termoplástica por Aspersión y Extrusión y Marcadores Retro-reflejantes (Tachas), que a diferencia de la pintura acrílica convencional, su durabilidad es tres veces superior.",Gs. 16.899.791.378,Itá - Itauguá - San Lorenzo - Fdo. De La Mora - Mariano Roque Alonso - Asunción,Señalización Horizontal,16,Señalización Horizontal
87%,CONSORCIO SERVIAM ACARAY,Presidente Hayes - Benjamín Aceval,EN CONSTRUCCIÓN,895 Kms.,"Vie, 05 Agosto 2016","Lun, 20 Abril 2015",Fondo Local,Señalización Horizontal. Lote 3 . Alto Paraná - San Pedro - Caaguazú - Pdte. Hayes - Concepción - Canindeyú - Cordillera - Guairá - Paraguarí.,Gs. 22.036.763.864,Dptos.: Alto Paraná - San Pedro - Caaguazú - Pdte. Hayes - Concepción - Canindeyú - Cordillera - Guairá - Paraguarí,Señalización Horizontal,16,Señalización Horizontal
57%,OCHO A S.A.,Central - San Lorenzo,EN CONSTRUCCIÓN,"372,70 Kms.","Mié, 30 Marzo 2016","Lun, 30 Marzo 2015",Fondo Local,"Señalización Vertical - Lote N°1, incluye Calle Última; Mcal. Estigarribia - Itá; Itauguá, Calle Última; Mcal. López - Arroyo Irala, Arroyo Irala - Mcal. López, Puente Remanso, Transchaco – Semidei, así como en distintos puntos del Área Metropolitana Asunción y Gran Asunción.",Gs. 15.549.996.468,Itá - Itauguá - San Lorenzo - Fdo. De La Mora - Mariano Roque Alonso - Asunción,Señalización Vertical,12,Señalización Vertical
100%,OCHO A S.A.,Presidente Hayes - Benjamín Aceval,FINALIZADA,"895,00 Kms.","Mié, 30 Marzo 2016","Jue, 08 Enero 2015",Fondo Local,Señalización Vertical - Lote N°3. Comprende caminos de los departamentos de: Alto Paraná - San Pedro - Caaguazú - Pdte. Hayes - Concepción - Cordillera - Guairá - Paraguarí - Misiones - Canindeyú,Gs. 17.149.997.028,Departamentos Alto Paraná - San Pedro - Caaguazú - Pdte. Hayes - Concepción - Cordillera - Guairá - Paraguarí - Misiones - Canindeyú,Señalización Vertical,15,Señalización Vertical
28%,Consorcio Rovella Carranza S.A. Y Asociados.,Boquerón - Mariscal José Félix Estigarribia,EN CONSTRUCCIÓN,"173,00 Kms.","Jue, 31 Mayo 2018","Mar, 01 Diciembre 2015",CAF,"Habilitación De La Ruta N° 9, Tramo Mcal. Estigarribia-La Patria (58Km) Y Mantenimiento Del Tramo La Patria - Tte. Infante Rivarola (115Km) Fase II.",Gs. 307.358.227.700,Mcal. Estigarribia - La Patria - Infante Rivarola,"Habilitación De La Ruta N° 9, Tramo Mcal. Estigarribia-La Patria (58Km) Y Mantenimiento Del Tramo La Patria-Tte. Infante Rivarola (115Km) Fase II",30,Pavimentación Asfáltica
0%,Hesaka S.A.,Paraguarí - Acahay,EN CONSTRUCCIÓN,54,"Mié, 17 Febrero 2016","Mar, 17 Febrero 2015",Fondo Local,Trabajos de Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio Lote 28 y Lote 37,Gs. 592.850.000,Paraguarí - Cordillera,Trabajos de Mejoramiento de Franja de Dominio de Carreteras por Niveles de Servicio Lote 28 y Lote 37,,Mejoramiento de Franja de Dominio
0%,MOPC,Paraguarí - Acahay,FINALIZADA,6 metros,"Dom, 17 Abril 2016","Jue, 28 Enero 2016",Fondo Local,Construcción de Puente de HºAº en el tramo Compañía Mbatovi sobre el A° Mbatovi,Gs. 150.000.000,Paraguarí,Construcción de Puente de HºAº en el tramo Compañía Mbatovi sobre el A° Mbatovi,,Puente de Hormigón Armado
2%,Consorcio Rovella Carranza S.A. Y Asociados.,Paraguarí - Caapucú,EN CONSTRUCCIÓN,110 Mtrs.,"Sáb, 01 Abril 2017","Jue, 01 Octubre 2015",CAF,"Contrucción de puentes de hormigón armado, en los departamentos de Cordillera, Guairá y Paraguarí:
Piribebuy: Piribebuy - Compañía Tape Guasu - Arroyo Yhaguymi.
Atyra: Atyra - Tobati (Compañia B. Caballero) - Arroyo s/n
Col. Independencia: Desvio Pireka - Potrero del Carmen - Aº Yroysa
Desvio Pireka - Potrero del Carmen - Aº Jhoyvy
Ybycuí: Costa Irala - Qui'indy - Arroyo s/n
Ybycuí - Larroza - Aliv. Arroyo Ybycuí
Caapucú: Ruta I - Montiel Potrero - Arroyo Sin Nombre 1
Ruta I - Montiel Potrero - Arroyo Sin Nombre 2
Ruta I - Montiel Potrero - Arroyo Sin Nombre 3
Ruta I - Montiel Potrero - Arroyo Sin Nombre 4",Gs. 15.196.060.386,Piribebuy - Atyra - Col. Independencia - Ybycuí - Caapucú.,Construcción de Puentes de HºAº en varios tramos,18,Puente de Hormigón Armado
66%,Consorcio de Obras Viales II,Presidente Hayes - Puerto Pinasco,EN CONSTRUCCIÓN,210 kms,"Mar, 27 Diciembre 2016","Vie, 01 Julio 2016",Fondo Local,Mejoramiento de Transitabilidad de Caminos Vecinales en el Distrito de Pinasco,Gs. 23.000.000.000,Pdte. Hayes,Mejoramiento de Transitabilidad de Caminos Vecinales en el Distrito de Pinasco,,Mejoramiento de transitabilidad de caminos no pavimentados
64%,Consorcio Vial Itapúa,Itapúa - Capitán Meza,EN CONSTRUCCIÓN,2.7 kms.,"Jue, 05 Enero 2017","Mar, 05 Mayo 2015",Fondo Local,Pavimentación asfáltica del Acceso al Puerto Don Joaquín,Gs. 9.820.148.252,Itapúa,Pavimentación asfáltica del Acceso al Puerto Don Joaquín,,Pavimentación Asfáltica
100%,Consorcio Caañabe,Central - Nueva Italia,FINALIZADA,31,"Lun, 17 Abril 2017","Mié, 17 Agosto 2016",Fondo Local,Pavimentación asfáltica sobre empedrado del tramo Nueva Italia - Carapeguá,Gs. 26.448.559.200,Nueva Italia - Carapeguá,Pavimentación asfáltica sobre empedrado del tramo Nueva Italia - Carapeguá,,Pavimentación Asfáltica
25%,OCHO A S.A.,Central - Asunción,EN CONSTRUCCIÓN,,"Mar, 17 Abril 2018","Lun, 17 Octubre 2016",Fondo Local,"Construcción del Acceso a desnivel al Comando del Ejército en la Autopista Ñu Guasu.
Modalidad llave en mano.",Gs. 14.015.737.845,Asunción,Construcción del Acceso a desnivel al Comando del Ejército en la Autopista Ñu Guasu.,,Paso a Desnivel
37%,Cconsorcio Monday,Alto Paraná - Ciudad del Este,EN CONSTRUCCIÓN,21 kms.,"Sáb, 27 Mayo 2017","Mié, 27 Julio 2016",Fondo Local,Pavimentación asfáltica del tramo: Calle 14 - Río Monday,Gs. 17.725.000.000,Minga Guazú,Pavimentación asfáltica del tramo: Calle 14 - Río Monday,,Pavimentación Asfáltica
53%,INGAER S.A.,Caazapá - Caazapá,EN CONSTRUCCIÓN,"189,00 Mtrs.","Sáb, 01 Abril 2017","Jue, 01 Octubre 2015",CAF,"Construcción de Puentes de HºAº en varios tramos de:
Departamento de Caazapá: en los distritos de Caazapá - San Juan Nepomuceno - Yuty - 3 de Mayo.
Departamento de Alto Paraná: en el distrito de Minga Guazu.
Dpto. de Ñeembucú: en los distritos de Isla Umbú - Humaitá. 01/10/2015 - 01/04/2017",Gs. 19.212.348.145,En los distritos de Caazapá - San Juan Nepomuceno - Yuty - 3 de Mayo - Minga Guazu - Isla Umbu Humaita,Construcción de Puentes de HºAº,18,Puente de Hormigón Armado
45%,Covipa S.A.,Concepción - Concepción,EN CONSTRUCCIÓN,249 metros,"Jue, 01 Junio 2017","Jue, 01 Octubre 2015",CAF,"Construcción de Puentes de HºAº en varios tramos en el Departamento de Concepción
En los distritos de:
Concepción: Paso Barreto - Col. Jorge S. Miranda - Arroyo Cure'y
Paso Barreto - Col. Jorge S. Miranda -Arroyo Trementina
Loreto: Loreto - Paso Barreto - Arroyo Yavevy'y
Loreto - Paso Barreto - Arroyo Laguna Penayo
Loreto - Paso Barreto - Arroyo Espejo
Loreto - Paso Barreto - Arroyo Laguna Tajy
Concepción: Paso Barreto - Puentesiño - Arroyo Paso Ovecha
Paso Barreto - Puentesiño - Arroyo Cazal cue
Paso Barreto - Puentesiño - Arroyo Aº Seco
San Carlos del Apa: Puentesiño - San Carlos - Arroyo s/n",Gs. 14.457.440.246,Distritos de Concepción - Loreto - San Carlos del Apa,Construcción de Puentes de Hormigón Armado en varios tramos,20,Puente de Hormigón Armado
100%,Roggio & Hijos S.A.,Cordillera - Caraguatay,FINALIZADA,"26,20 Kms.","Mié, 21 Octubre 2015","Lun, 02 Marzo 2015",Fondo Local,"Tramo Eusebio Ayala - Isla Pucú - Caraguatay - Vapor Cué
Pavimentación de tramos alimentadores de la Red Vial Nacional. Paquete Nº 2. Lote 2
El mencionado tramo se inicia en la intersección con la Ruta Nº 2, atraviesa la zona urbana de la ciudad de Eusebio Ayala, que se desarrolla hasta la progresiva 2+000 con calzada de 7,00 m de ancho; a partir de esta progresiva el ancho de la misma se reduce a 6,20 m, luego pasa por la ciudad de Isla Pucú, Caraguatay, hasta llegar al Parque Nacional Vapor Cué, recorriendo un trayecto de 26,2 Km.",Gs. 23.244.157.590,Eusebio Ayala - Isla Pucú - Caraguatay - Vapor Cué,Pavimentación Asfáltica sobre empedrado,6,Pavimentación Asfáltica sobre Empedrado
100%,PROEL INGENIERIA,Caaguazú - Caaguazú,FINALIZADA,224 kms,"Dom, 11 Septiembre 2016","Lun, 11 Julio 2016",Fondo Local,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Caaguazú. Lote 15,Gs. 2.620.798.656,Caaguazú,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Caaguazú. Lote 15,,Mejoramiento de transitabilidad de caminos no pavimentados
76%,Talavera Ortellado Construcciones S.A. (T.O.C. S.A.),Caaguazú - Caaguazú,EN CONSTRUCCIÓN,"34,88","Jue, 16 Agosto 2018","Mié, 18 Enero 2017",BID,Mejoramiento y Rehabilitación de Caminos Vecinales del Departamento de Caazapá,Gs. 25.973.187.784,Caazapá,Mejoramiento y Rehabilitación de Caminos Vecinales del Departamento de Caazapá,20,Ripio / Empedrado
77%,Benito Roggio,Itapúa - Alto Verá,EN REPARACIÓN,257,"Mar, 30 Agosto 2016","Vie, 01 Julio 2016",Fondo Local,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Itapúa. Lote 20,Gs. 210.169.793.200,Itapúa,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Itapúa. Lote 20,,Mejoramiento de transitabilidad de caminos no pavimentados
0%,Consorcio Tape Rory,San Pedro - San Pedro de Ycuamandyyú,EN CONSTRUCCIÓN,"26,50","Mié, 18 Julio 2018","Mié, 18 Enero 2017",BID,Mejoramiento y Rehabilitación de Caminos Vecinales del Departamento de San Pedro,Gs. 20.809.721.470,San Pedro,Mejoramiento y Rehabilitación de Caminos Vecinales del Departamento de San Pedro,,Ripio / Empedrado
91%,Caldetec Ingeniería S.A.,San Pedro - San Pedro de Ycuamandyyú,EN REPARACIÓN,317 kms.,"Mar, 30 Agosto 2016","Vie, 01 Julio 2016",Fondo Local,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de San Pedro. Lote 5,Gs. 3.027.928.525,San Pedro,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de San Pedro. Lote 5,,Mejoramiento de transitabilidad de caminos no pavimentados
0%,CDD Construcciones,Misiones - Ayolas,FINALIZADA,191,"Vie, 30 Septiembre 2016","Lun, 01 Agosto 2016",Fondo Local,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Misiones. Lote 26,Gs. 1.629.262.279,Misiones,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Misiones. Lote 26,,Mejoramiento de transitabilidad de caminos no pavimentados
0%,Compañía de Construcciones Civiles S.A.,Paraguarí - Acahay,EN REPARACIÓN,204,"Vie, 16 Septiembre 2016","Lun, 18 Julio 2016",Fondo Local,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Paraguarí. Lote 28,Gs. 2.497.333.320,Paraguarí,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Paraguarí. Lote 28,,Mejoramiento de transitabilidad de caminos no pavimentados
100%,Ecomipa S.A.,Cordillera - Tobatí,FINALIZADA,24 Kms.,"Vie, 25 Septiembre 2015","Vie, 20 Febrero 2015",Fondo Local,"Pavimentación de tramos alimentadores de la Red Vial Nacional. Paquete Nº 2. Lote 3
Pavimentación Asfáltica sobre empedrado. Tramo Tobatí - 1º de marzo",Gs. 17.363.120.236,Tobatí - 1° de Marzo,Pavimentación Asfáltica sobre empedrado,6,Pavimentación Asfáltica sobre Empedrado
90%,Consorcio Arrecife,Itapúa - Alto Verá,EN REPARACIÓN,250,"Mar, 30 Agosto 2016","Vie, 01 Julio 2016",Fondo Local,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Itapúa. Lote 21,Gs. 1.955.000.000,Itapúa,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Itapúa. Lote 21,,Mejoramiento de transitabilidad de caminos no pavimentados
0%,Consorcio San Ignacio,San Pedro - San Pedro de Ycuamandyyú,EN CONSTRUCCIÓN,"28,70","Mié, 18 Julio 2018","Mié, 18 Enero 2017",BID,Mejoramiento y Rehabilitación de Caminos Vecinales del Departamento de San Pedro,Gs. 14.388.406.840,San Pedro,Mejoramiento y Rehabilitación de Caminos Vecinales del Departamento de San Pedro,,Ripio / Empedrado
100%,Consorcio Vial CE2,Caaguazú - Caaguazú,FINALIZADA,159 kms,"Dom, 18 Septiembre 2016","Mié, 20 Julio 2016",Fondo Local,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Caaguazú. Lote 14,Gs. 2.262.736.400,Caaguazú,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Caaguazú. Lote 14,,Mejoramiento de transitabilidad de caminos no pavimentados
0%,Tecnologia del Sur S.A.,San Pedro - San Pedro de Ycuamandyyú,EN CONSTRUCCIÓN,"315,00","Lun, 09 Abril 2018","Lun, 09 Enero 2017",Fondo Local,Mejoramiento de Transitabilidad de Caminos No Pavimentados en varios Departamentos de la Región Oriental.,Gs. 2.888.888.310,San Pedro,Mejoramiento de Transitabilidad de Caminos No Pavimentados en varios Departamentos de la Región Oriental,,Mejoramiento de transitabilidad de caminos no pavimentados
100%,Consorcio Acaray,Central - San Antonio,FINALIZADA,"23,00 Kms.","Dom, 15 Noviembre 2015","Vie, 10 Abril 2015",Fondo Local,"Pavimentación de tramos alimentadores de la Red Vial Nacional. Paquete Nº 2. Lote 1.
Tramo Acceso Sur - Cruce Villeta
Tramo J Augusto Saldivar (KM 27 Ruta N°1 )- Guarambare - Acceso Sur
Tramo Ruta 4 Mojones - Rifineria (Calle Polesky) - San Antonio (Pto. Gisel) - Acceso Sur (Ytororo)",Gs. 19.874.933.478,Villeta - Guarambaré - J Augusto Saldivar - San Antonio - Ñemby - Villa Elisa,Pavimentación Asfáltica sobre empedrado,6,Pavimentación Asfáltica sobre Empedrado
100%,Constructora Heisecke S.A.,Caazapá - Abaí,FINALIZADA,221,"Mar, 30 Agosto 2016","Vie, 01 Julio 2016",Fondo Local,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Caazaapá. Lote 17,Gs. 2.032.271.800,Caazapá,Mejoramiento de Transitabilidad de caminos no pavimentados en el Departamento de Caazaapá. Lote 17,,Mejoramiento de transitabilidad de caminos no pavimentados
0%,Consorcio LT - Black,Misiones - San Ignacio,EN CONSTRUCCIÓN,"229,00","Dom, 09 Abril 2017","Lun, 09 Enero 2017",Fondo Local,Mejoramiento de Transitabilidad de Caminos No Pavimentados en varios Departamentos de la Región Oriental.,Gs. 1.827.550.072,Misiones,Mejoramiento de Transitabilidad de Caminos No Pavimentados en varios Departamentos de la Región Oriental.,,Mejoramiento de transitabilidad de caminos no pavimentados
0%,Ing. Miguel Ángel Chávez Haussman,Misiones - San Ignacio,EN CONSTRUCCIÓN,"445,00","Lun, 13 Marzo 2017","Mar, 13 Diciembre 2016",Fondo Local,Mejoramiento de Transitabilidad de Caminos No Pavimentados en varios Departamentos de la Región Oriental.,Gs. 1.654.384.400,Misiones,Mejoramiento de Transitabilidad de Caminos No Pavimentados en varios Departamentos de la Región Oriental.,,Mejoramiento de transitabilidad de caminos no pavimentados
100%,Consorcio CCC - Vialtec,Caaguazú - Repatriación,FINALIZADA,"17,10 Kms","Lun, 14 Diciembre 2015","Mié, 25 Marzo 2015",Fondo Local,"Pavimentación de tramos alimentadores de la Red Vial Nacional.
Paquete Nº 2. Lote 4.
Tramo Caaguazú - Repatriación
Tramo Ruta N° 2 - Nueva Londres",Gs. 21.027.654.927,Caaguazú - Repatriación - Nueva Londres,Pavimentación de tramos alimentadores de la Red Vial Nacional. Paquete Nº 2. Lote 4.,9,Pavimentación Asfáltica
